id,sku,name,description,base_price,is_active,created_at,updated_at
"164","XDKPNAUH","Bespoke Aluminum Car","New Shoes model with 91 GB RAM, 197 GB storage, and standard features","434.49","true","2018-02-03 21:18:00","2025-02-04 00:45:24"
"165","9XHMYAHE","Frozen Cotton Ball","Ergonomic Chicken made with Cotton for all-day wasteful support","1080.35","true","2024-07-12 08:13:25","2025-08-10 05:33:17"
"166","VVT8835D","Handcrafted Wooden Bacon","Savor the creamy essence in our Towels, designed for bruised culinary adventures","1369.25","true","2024-03-24 17:26:43","2024-11-12 01:02:36"
"167","KOFQ1IWY","Fresh Silk Bacon","Our rich-inspired Shirt brings a taste of luxury to your blond lifestyle","485.3","true","2024-09-05 08:38:22","2025-02-04 21:05:24"
"168","YTKZHIEI","Ergonomic Wooden Pants","Our salty-inspired Towels brings a taste of luxury to your every lifestyle","642.29","true","2022-05-15 09:20:12","2025-07-17 06:14:52"
"169","IWPFTW5I","Sleek Aluminum Shoes","Ruecker, Connelly and Paucek's most advanced Car technology increases favorable capabilities","1090.89","true","2020-06-22 19:37:49","2025-09-24 01:03:31"
"170","NSB34DQ4","Awesome Gold Shoes","Featuring Mendelevium-enhanced technology, our Salad offers unparalleled insignificant performance","843.9","true","2024-02-06 07:26:40","2024-02-28 16:34:47"
"171","1EX53G41","Sleek Granite Shoes","The Eileen Fish is the latest in a series of definite products from Lind - Ziemann","1840.79","false","2017-04-01 15:05:54","2017-04-14 23:14:46"
"172","RWIGW99G","Soft Metal Gloves","The Herta Mouse is the latest in a series of finished products from Hodkiewicz - Wintheiser","490.29","true","2021-03-21 12:14:18","2022-11-08 05:54:30"
"173","QSBNC1V6","Practical Plastic Cheese","Discover the parallel new Keyboard with an exciting mix of Wooden ingredients","467.59","true","2022-10-14 13:48:36","2023-04-07 16:05:50"
"174","O8XRJ0OR","Unbranded Steel Mouse","Our creamy-inspired Tuna brings a taste of luxury to your breakable lifestyle","481.8","false","2022-02-18 05:50:23","2022-06-29 17:23:26"
"175","V56OANX2","Ergonomic Aluminum Table","Professional-grade Sausages perfect for well-groomed training and recreational use","1711.69","true","2021-10-03 02:42:24","2024-07-11 23:17:26"
"176","2F1RTAS0","Luxurious Aluminum Shirt","Innovative Chips featuring unrealistic technology and Bamboo construction","400.09","true","2020-12-04 23:51:17","2023-07-19 11:58:18"
"177","82157XLN","Recycled Marble Car","Introducing the Albania-inspired Sausages, blending practical style with local craftsmanship","1385.45","false","2022-04-18 07:33:32","2024-02-27 21:40:23"
"178","KNQOXJ8S","Fantastic Gold Fish","Discover the kangaroo-like agility of our Car, perfect for raw users","804.29","true","2024-01-30 21:31:41","2025-02-25 17:42:00"
"179","DSO4WN0L","Frozen Metal Towels","Modern Pizza designed with Bronze for black performance","930.69","true","2016-08-25 14:27:14","2017-03-19 08:39:51"
"180","JJX7LDA8","Fresh Granite Shoes","Elegant Tuna designed with Bamboo for grim performance","1699.59","false","2020-10-17 01:59:45","2023-07-22 11:23:20"
"181","OH48CJBL","Generic Metal Cheese","The User-centric contextually-based challenge Gloves offers reliable performance and svelte design","1158.1","false","2020-11-11 16:13:40","2024-07-16 00:24:22"
"182","IXM8WYAX","Elegant Marble Car","Experience the mint green brilliance of our Ball, perfect for moist environments","1575.9","true","2022-03-11 17:11:50","2023-12-05 14:25:21"
"183","I57VBLPU","Oriental Rubber Towels","Stylish Mouse designed to make you stand out with smug looks","849.09","true","2019-01-03 19:43:03","2023-07-21 05:43:44"
"184","CJEMXEST","Practical Metal Chips","New Shoes model with 72 GB RAM, 509 GB storage, and deserted features","1091.25","true","2020-07-25 00:27:13","2021-12-17 10:57:56"
"185","JY192SJR","Luxurious Silk Chicken","Savor the fluffy essence in our Pants, designed for impossible culinary adventures","586.45","true","2019-07-09 19:35:52","2021-11-14 19:59:10"
"186","6AEJ8CJY","Modern Steel Pants","Innovative Mouse featuring rowdy technology and Silk construction","296.19","true","2021-03-20 02:58:56","2023-02-09 10:36:20"
"187","9Z2RLS1Q","Awesome Wooden Cheese","Introducing the Lesotho-inspired Tuna, blending bright style with local craftsmanship","55.79","true","2017-05-06 07:40:43","2019-09-23 07:09:02"
"188","1WY90N6Y","Luxurious Bronze Soap","Stracke, Turner and Fritsch's most advanced Shoes technology increases fine capabilities","1079.39","true","2022-12-24 08:32:38","2023-12-29 22:10:36"
"189","IYLRA1BC","Rustic Marble Bacon","Discover the mad new Tuna with an exciting mix of Bronze ingredients","1791.39","true","2019-02-25 17:52:47","2023-04-06 05:31:08"
"190","ETL751FV","Tasty Silk Car","Stylish Hat designed to make you stand out with scaly looks","92.59","true","2018-02-21 06:06:18","2021-04-23 11:10:41"
"191","OTMSICIV","Tasty Steel Mouse","Discover the shark-like agility of our Hat, perfect for scientific users","12.88","true","2017-10-30 14:21:00","2022-04-05 07:59:09"
"192","JSXTPRZJ","Gorgeous Bronze Keyboard","New indigo Chips with ergonomic design for superior comfort","1948.19","true","2025-06-25 16:00:01","2025-07-17 05:34:35"
"193","1BM10CEO","Licensed Concrete Hat","Discover the rich new Pants with an exciting mix of Marble ingredients","924.52","true","2023-04-04 20:52:37","2023-10-30 10:03:30"
"194","GMJ364SR","Modern Metal Pants","Discover the sea lion-like agility of our Table, perfect for spanish users","1638.69","true","2020-02-05 11:50:17","2022-10-02 20:35:18"
"195","AVEZ99EM","Generic Gold Gloves","Introducing the South Georgia and the South Sandwich Islands-inspired Bike, blending blank style with local craftsmanship","1811.15","true","2020-11-17 19:29:48","2023-07-11 09:42:19"
"196","QEQVAFON","Gorgeous Bronze Pizza","Discover the practical new Fish with an exciting mix of Plastic ingredients","1534.59","true","2022-01-16 19:01:07","2025-02-21 02:00:53"
"197","5Y81JWE0","Tasty Marble Pants","Innovative Shoes featuring bouncy technology and Metal construction","1131.75","true","2019-09-22 17:54:48","2022-04-13 12:37:43"
"198","SRCB8336","Electronic Plastic Towels","Innovative Chicken featuring windy technology and Wooden construction","311.79","true","2020-10-01 17:00:05","2025-04-19 07:33:18"
"199","DN6OF5AZ","Gorgeous Plastic Computer","Stylish Shirt designed to make you stand out with trusty looks","942.59","true","2024-01-07 14:49:56","2025-04-22 22:30:18"
"200","7RJ1IQFD","Electronic Cotton Chicken","Stylish Fish designed to make you stand out with sick looks","1412.59","false","2020-11-22 06:02:44","2020-12-23 08:25:39"
